Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,YearMonth
14,OD-000007,2034-09-13,2034-09-16,First Class,Customer-0947,Customer-0947,Consumer,United States,Phoenix,Texas,34045,East,PROD-9182,Technology,Accessories,Accessories - Item 80,764.97,6,0.2,-42.36,2034-09
15,OD-000007,2034-09-13,2034-09-16,Second Class,Customer-0947,Customer-0947,Corporate,United States,Los Angeles,California,87949,East,PROD-2999,Technology,Accessories,Accessories - Item 76,806.39,8,0.1,2.68,2034-09
16,OD-000007,2034-09-13,2034-09-14,Second Class,Customer-0947,Customer-0947,Home Office,United States,Chicago,Illinois,20503,West,PROD-5208,Technology,Accessories,Accessories - Item 71,12.29,3,0.0,35.45,2034-09
17,OD-000008,2020-04-11,2020-04-16,Standard Class,Customer-0608,Customer-0608,Consumer,United States,Houston,California,51160,Central,PROD-9448,Furniture,Furnishings,Furnishings - Item 36,703.03,8,0.0,130.79,2020-04
18,OD-000009,2033-08-09,2033-08-12,Same Day,Customer-0617,Customer-0617,Home Office,United States,Philadelphia,Texas,71388,East,PROD-6409,Office Supplies,Binders,Binders - Item 45,955.56,6,0.05,-30.78,2033-08
19,OD-000009,2033-08-09,2033-08-11,Second Class,Customer-0617,Customer-0617,Corporate,United States,Houston,California,56092,South,PROD-3555,Office Supplies,Binders,Binders - Item 34,288.19,8,0.1,-44.49,2033-08
20,OD-000010,2031-02-13,2031-02-14,Standard Class,Customer-0420,Customer-0420,Consumer,United States,Philadelphia,Arizona,45596,East,PROD-8570,Furniture,Furnishings,Furnishings - Item 53,421.96,9,0.0,129.95,2031-02
21,OD-000010,2031-02-13,2031-02-19,Second Class,Customer-0420,Customer-0420,Corporate,United States,Houston,California,11589,South,PROD-9851,Furniture,Furnishings,Furnishings - Item 32,531.02,2,0.15,8.66,2031-02
22,OD-000010,2031-02-13,2031-02-18,Same Day,Customer-0420,Customer-0420,Home Office,United States,Philadelphia,Pennsylvania,94227,East,PROD-8226,Furniture,Furnishings,Furnishings - Item 87,723.45,7,0.05,-16.54,2031-02
23,OD-000011,2034-04-10,2034-04-11,Same Day,Customer-0250,Customer-0250,Consumer,United States,San Antonio,New York,64238,East,PROD-8161,Technology,Machines,Machines - Item 93,56.38,6,0.0,-34.33,2034-04
24,OD-000011,2034-04-10,2034-04-12,Same Day,Customer-0250,Customer-0250,Consumer,United States,Philadelphia,Arizona,90811,East,PROD-6951,Technology,Machines,Machines - Item 29,931.58,9,0.0,-17.52,2034-04
25,OD-000012,2028-06-06,2028-06-10,Same Day,Customer-0117,Customer-0117,Corporate,United States,San Antonio,Illinois,53148,Central,PROD-3224,Technology,Accessories,Accessories - Item 70,383.54,3,0.2,-20.99,2028-06
26,OD-000013,2027-09-07,2027-09-08,Same Day,Customer-0866,Customer-0866,Home Office,United States,New York,California,33478,West,PROD-7318,Office Supplies,Storage,Storage - Item 23,261.69,5,0.0,19.61,2027-09
27,OD-000013,2027-09-07,2027-09-10,Standard Class,Customer-0866,Customer-0866,Home Office,United States,New York,Pennsylvania,81368,East,PROD-8122,Office Supplies,Storage,Storage - Item 83,647.71,1,0.2,74.64,2027-09
28,OD-000013,2027-09-07,2027-09-11,Same Day,Customer-0866,Customer-0866,Consumer,United States,Chicago,Texas,77055,West,PROD-8935,Office Supplies,Storage,Storage - Item 78,773.07,9,0.15,164.74,2027-09
29,OD-000014,2026-12-29,2027-01-03,Same Day,Customer-0512,Customer-0512,Home Office,United States,Los Angeles,California,39320,East,PROD-4237,Office Supplies,Storage,Storage - Item 75,733.19,6,0.0,149.06,2026-12
30,OD-000015,2019-05-11,2019-05-13,Standard Class,Customer-0740,Customer-0740,Home Office,United States,Houston,California,33554,South,PROD-7469,Furniture,Chairs,Chairs - Item 44,401.18,8,0.0,172.55,2019-05
31,OD-000015,2019-05-11,2019-05-15,First Class,Customer-0740,Customer-0740,Home Office,United States,Phoenix,New York,36672,West,PROD-2673,Furniture,Chairs,Chairs - Item 53,274.92,5,0.05,-46.33,2019-05
32,OD-000015,2019-05-11,2019-05-16,Second Class,Customer-0740,Customer-0740,Corporate,United States,Philadelphia,New York,49779,West,PROD-1674,Furniture,Chairs,Chairs - Item 25,738.84,6,0.0,176.52,2019-05
33,OD-000016,2023-08-13,2023-08-14,Same Day,Customer-0578,Customer-0578,Corporate,United States,Houston,California,54864,South,PROD-5214,Furniture,Furnishings,Furnishings - Item 28,274.58,1,0.15,194.0,2023-08
34,OD-000016,2023-08-13,2023-08-16,Second Class,Customer-0578,Customer-0578,Consumer,United States,Los Angeles,Illinois,61374,West,PROD-3792,Furniture,Furnishings,Furnishings - Item 34,189.92,7,0.2,35.45,2023-08
35,OD-000016,2023-08-13,2023-08-15,First Class,Customer-0578,Customer-0578,Consumer,United States,Philadelphia,Texas,56607,South,PROD-7516,Furniture,Furnishings,Furnishings - Item 77,974.45,3,0.0,86.74,2023-08
36,OD-000016,2023-08-13,2023-08-14,First Class,Customer-0578,Customer-0578,Consumer,United States,San Diego,California,21308,West,PROD-9835,Furniture,Furnishings,Furnishings - Item 67,713.03,2,0.05,71.02,2023-08
37,OD-000017,2021-02-08,2021-02-10,Same Day,Customer-0335,Customer-0335,Corporate,United States,San Diego,New York,21908,South,PROD-7683,Technology,Copiers,Copiers - Item 22,372.02,7,0.05,174.02,2021-02
38,OD-000017,2021-02-08,2021-02-09,Second Class,Customer-0335,Customer-0335,Home Office,United States,Phoenix,Illinois,98330,East,PROD-4764,Technology,Copiers,Copiers - Item 72,639.6,1,0.0,186.85,2021-02
39,OD-000017,2021-02-08,2021-02-14,Same Day,Customer-0335,Customer-0335,Corporate,United States,Houston,New York,28990,Central,PROD-5781,Technology,Copiers,Copiers - Item 26,155.83,5,0.15,107.73,2021-02
40,OD-000018,2025-07-19,2025-07-21,Second Class,Customer-0418,Customer-0418,Home Office,United States,Los Angeles,Texas,94703,East,PROD-6241,Office Supplies,Labels,Labels - Item 21,962.69,6,0.05,86.71,2025-07
41,OD-000018,2025-07-19,2025-07-25,Standard Class,Customer-0418,Customer-0418,Home Office,United States,Philadelphia,Illinois,47853,West,PROD-2116,Office Supplies,Labels,Labels - Item 8,217.09,1,0.0,195.3,2025-07
42,OD-000018,2025-07-19,2025-07-24,Second Class,Customer-0418,Customer-0418,Home Office,United States,San Antonio,Texas,38328,South,PROD-3743,Office Supplies,Labels,Labels - Item 64,953.49,9,0.15,14.89,2025-07
43,OD-000019,2034-05-13,2034-05-19,Second Class,Customer-0932,Customer-0932,Corporate,United States,Los Angeles,Pennsylvania,68627,South,PROD-1882,Office Supplies,Binders,Binders - Item 29,908.82,2,0.0,190.03,2034-05
44,OD-000020,2025-08-30,2025-09-04,Second Class,Customer-0774,Customer-0774,Corporate,United States,San Diego,Texas,73069,East,PROD-8594,Office Supplies,Paper,Paper - Item 39,783.54,4,0.05,142.91,2025-08
45,OD-000021,2033-07-17,2033-07-19,Same Day,Customer-0295,Customer-0295,Consumer,United States,Houston,California,91051,West,PROD-4326,Furniture,Chairs,Chairs - Item 43,55.6,8,0.05,78.67,2033-07
46,OD-000021,2033-07-17,2033-07-20,Second Class,Customer-0295,Customer-0295,Consumer,United States,Chicago,New York,95867,East,PROD-2196,Furniture,Chairs,Chairs - Item 10,902.37,6,0.1,188.71,2033-07
47,OD-000022,2032-10-30,2032-10-31,First Class,Customer-0938,Customer-0938,Consumer,United States,Philadelphia,Illinois,13696,Central,PROD-4674,Furniture,Chairs,Chairs - Item 90,363.55,2,0.2,12.75,2032-10
48,OD-000023,2022-03-30,2022-04-01,Same Day,Customer-0755,Customer-0755,Consumer,United States,Los Angeles,New York,25417,West,PROD-4699,Furniture,Furnishings,Furnishings - Item 87,510.9,9,0.0,7.17,2022-03
49,OD-000023,2022-03-30,2022-03-31,Standard Class,Customer-0755,Customer-0755,Corporate,United States,Los Angeles,California,44540,East,PROD-3780,Furniture,Furnishings,Furnishings - Item 68,585.81,8,0.1,56.88,2022-03
50,OD-000023,2022-03-30,2022-04-03,Second Class,Customer-0755,Customer-0755,Home Office,United States,Chicago,Arizona,90070,Central,PROD-7297,Furniture,Furnishings,Furnishings - Item 40,406.93,4,0.05,172.22,2022-03
51,OD-000023,2022-03-30,2022-04-01,Same Day,Customer-0755,Customer-0755,Consumer,United States,Phoenix,California,49464,South,PROD-1614,Furniture,Furnishings,Furnishings - Item 46,215.01,9,0.1,-32.75,2022-03
52,OD-000024,2031-06-22,2031-06-23,First Class,Customer-0371,Customer-0371,Home Office,United States,San Diego,Illinois,55095,Central,PROD-4607,Technology,Phones,Phones - Item 24,658.1,3,0.05,168.97,2031-06
53,OD-000024,2031-06-22,2031-06-27,Same Day,Customer-0371,Customer-0371,Home Office,United States,Phoenix,Arizona,47726,West,PROD-5276,Technology,Phones,Phones - Item 62,536.7,9,0.15,80.63,2031-06
54,OD-000024,2031-06-22,2031-06-27,Standard Class,Customer-0371,Customer-0371,Corporate,United States,San Diego,Texas,95076,East,PROD-5307,Technology,Phones,Phones - Item 3,883.91,6,0.15,191.71,2031-06
55,OD-000025,2028-04-08,2028-04-12,First Class,Customer-0186,Customer-0186,Consumer,United States,Phoenix,Arizona,61001,West,PROD-3749,Technology,Machines,Machines - Item 25,260.29,3,0.0,42.74,2028-04
56,OD-000025,2028-04-08,2028-04-11,First Class,Customer-0186,Customer-0186,Corporate,United States,Houston,Texas,37127,West,PROD-9501,Technology,Machines,Machines - Item 21,158.11,7,0.05,127.33,2028-04
57,OD-000026,2030-04-10,2030-04-11,First Class,Customer-0246,Customer-0246,Corporate,United States,Philadelphia,New York,78368,South,PROD-6679,Office Supplies,Labels,Labels - Item 52,635.84,5,0.2,-24.37,2030-04
58,OD-000026,2030-04-10,2030-04-11,First Class,Customer-0246,Customer-0246,Consumer,United States,Chicago,Texas,43872,East,PROD-8361,Office Supplies,Labels,Labels - Item 15,717.18,6,0.0,-19.49,2030-04
59,OD-000026,2030-04-10,2030-04-12,First Class,Customer-0246,Customer-0246,Consumer,United States,Philadelphia,New York,29873,Central,PROD-1680,Office Supplies,Labels,Labels - Item 93,150.75,6,0.15,194.63,2030-04
60,OD-000027,2032-04-05,2032-04-06,Same Day,Customer-0637,Customer-0637,Home Office,United States,Phoenix,Texas,63312,East,PROD-8106,Furniture,Furnishings,Furnishings - Item 90,171.4,4,0.05,-45.98,2032-04
61,OD-000027,2032-04-05,2032-04-08,Same Day,Customer-0637,Customer-0637,Home Office,United States,San Diego,Pennsylvania,36400,West,PROD-5769,Furniture,Furnishings,Furnishings - Item 61,106.54,8,0.1,75.27,2032-04
62,OD-000027,2032-04-05,2032-04-11,Standard Class,Customer-0637,Customer-0637,Consumer,United States,New York,California,20578,East,PROD-3240,Furniture,Furnishings,Furnishings - Item 69,721.27,6,0.2,190.38,2032-04
63,OD-000028,2026-12-14,2026-12-18,Same Day,Customer-0268,Customer-0268,Home Office,United States,Chicago,California,66408,South,PROD-8262,Technology,Machines,Machines - Item 68,628.78,2,0.1,75.38,2026-12
64,OD-000028,2026-12-14,2026-12-20,Same Day,Customer-0268,Customer-0268,Home Office,United States,Chicago,California,34335,Central,PROD-5690,Technology,Machines,Machines - Item 51,22.04,8,0.15,-3.27,2026-12
65,OD-000029,2020-04-19,2020-04-22,Standard Class,Customer-0643,Customer-0643,Home Office,United States,Houston,New York,29552,East,PROD-7043,Office Supplies,Storage,Storage - Item 78,609.45,8,0.1,38.96,2020-04
66,OD-000029,2020-04-19,2020-04-21,Same Day,Customer-0643,Customer-0643,Consumer,United States,Chicago,Pennsylvania,36049,West,PROD-3606,Office Supplies,Storage,Storage - Item 39,945.0,4,0.1,146.32,2020-04
67,OD-000029,2020-04-19,2020-04-24,Same Day,Customer-0643,Customer-0643,Consumer,United States,San Diego,California,90702,West,PROD-5456,Office Supplies,Storage,Storage - Item 57,21.37,1,0.05,192.67,2020-04
68,OD-000029,2020-04-19,2020-04-24,Same Day,Customer-0643,Customer-0643,Corporate,United States,New York,Arizona,24256,Central,PROD-6808,Office Supplies,Storage,Storage - Item 76,83.3,3,0.05,79.2,2020-04
69,OD-000030,2021-12-18,2021-12-20,Second Class,Customer-0237,Customer-0237,Corporate,United States,Los Angeles,Illinois,70710,Central,PROD-2518,Office Supplies,Supplies,Supplies - Item 20,304.32,6,0.15,99.76,2021-12
70,OD-000030,2021-12-18,2021-12-22,First Class,Customer-0237,Customer-0237,Home Office,United States,Los Angeles,Pennsylvania,29233,West,PROD-2742,Office Supplies,Supplies,Supplies - Item 27,679.27,1,0.0,81.44,2021-12
71,OD-000030,2021-12-18,2021-12-21,Same Day,Customer-0237,Customer-0237,Corporate,United States,Phoenix,Texas,84816,Central,PROD-7409,Office Supplies,Supplies,Supplies - Item 53,945.29,6,0.1,170.75,2021-12
72,OD-000031,2026-01-02,2026-01-04,Second Class,Customer-0530,Customer-0530,Consumer,United States,Phoenix,Texas,72912,East,PROD-5396,Office Supplies,Supplies,Supplies - Item 68,936.9,9,0.15,184.91,2026-01
73,OD-000031,2026-01-02,2026-01-04,Same Day,Customer-0530,Customer-0530,Consumer,United States,Phoenix,Pennsylvania,22905,South,PROD-8967,Office Supplies,Supplies,Supplies - Item 6,977.24,1,0.05,-47.92,2026-01
74,OD-000031,2026-01-02,2026-01-08,Second Class,Customer-0530,Customer-0530,Home Office,United States,Houston,Illinois,60516,Central,PROD-4676,Office Supplies,Supplies,Supplies - Item 73,444.0,3,0.15,103.32,2026-01
75,OD-000032,2024-08-09,2024-08-11,Same Day,Customer-0552,Customer-0552,Consumer,United States,San Diego,Texas,53764,Central,PROD-2134,Furniture,Tables,Tables - Item 96,912.41,1,0.0,-46.05,2024-08
76,OD-000033,2026-07-10,2026-07-15,Second Class,Customer-0021,Customer-0021,Home Office,United States,Philadelphia,California,93104,Central,PROD-2551,Office Supplies,Binders,Binders - Item 82,378.48,7,0.05,171.24,2026-07
77,OD-000033,2026-07-10,2026-07-13,Same Day,Customer-0021,Customer-0021,Home Office,United States,San Antonio,Arizona,86162,West,PROD-1869,Office Supplies,Binders,Binders - Item 65,260.82,8,0.1,142.69,2026-07
78,OD-000033,2026-07-10,2026-07-11,Standard Class,Customer-0021,Customer-0021,Consumer,United States,Philadelphia,Illinois,18024,Central,PROD-6488,Office Supplies,Binders,Binders - Item 60,374.76,6,0.2,116.62,2026-07
79,OD-000034,2021-09-02,2021-09-04,Standard Class,Customer-0911,Customer-0911,Corporate,United States,Chicago,Illinois,80843,West,PROD-3041,Technology,Phones,Phones - Item 40,448.12,5,0.15,54.85,2021-09
80,OD-000034,2021-09-02,2021-09-08,Same Day,Customer-0911,Customer-0911,Home Office,United States,Los Angeles,New York,89052,South,PROD-9326,Technology,Phones,Phones - Item 61,474.83,8,0.15,2.51,2021-09
81,OD-000034,2021-09-02,2021-09-03,First Class,Customer-0911,Customer-0911,Home Office,United States,Philadelphia,Pennsylvania,66704,West,PROD-6103,Technology,Phones,Phones - Item 29,79.79,5,0.05,170.42,2021-09
82,OD-000034,2021-09-02,2021-09-07,First Class,Customer-0911,Customer-0911,Home Office,United States,Chicago,Texas,22356,East,PROD-1195,Technology,Phones,Phones - Item 12,257.46,8,0.05,83.89,2021-09
83,OD-000035,2023-12-12,2023-12-14,Same Day,Customer-0737,Customer-0737,Consumer,United States,Phoenix,Texas,12591,Central,PROD-7121,Furniture,Furnishings,Furnishings - Item 49,510.58,7,0.0,29.65,2023-12
84,OD-000036,2019-07-09,2019-07-12,Standard Class,Customer-0867,Customer-0867,Home Office,United States,San Antonio,Pennsylvania,42854,East,PROD-7219,Furniture,Tables,Tables - Item 87,467.23,9,0.0,-9.91,2019-07
85,OD-000037,2026-06-27,2026-07-03,Same Day,Customer-0794,Customer-0794,Home Office,United States,San Diego,Texas,64316,East,PROD-4687,Technology,Phones,Phones - Item 85,721.55,6,0.15,78.73,2026-06
86,OD-000038,2027-03-25,2027-03-31,Standard Class,Customer-0520,Customer-0520,Corporate,United States,Chicago,California,82617,Central,PROD-8117,Office Supplies,Labels,Labels - Item 10,638.29,3,0.15,-20.4,2027-03
87,OD-000038,2027-03-25,2027-03-27,Same Day,Customer-0520,Customer-0520,Home Office,United States,Philadelphia,Texas,79166,West,PROD-1146,Office Supplies,Labels,Labels - Item 15,751.9,8,0.1,89.22,2027-03
88,OD-000039,2031-10-03,2031-10-04,First Class,Customer-0100,Customer-0100,Home Office,United States,Los Angeles,California,18640,East,PROD-6618,Furniture,Tables,Tables - Item 13,871.82,2,0.2,83.13,2031-10
89,OD-000039,2031-10-03,2031-10-08,Same Day,Customer-0100,Customer-0100,Consumer,United States,Phoenix,California,86700,Central,PROD-3687,Furniture,Tables,Tables - Item 88,695.15,7,0.2,47.96,2031-10
90,OD-000039,2031-10-03,2031-10-04,First Class,Customer-0100,Customer-0100,Home Office,United States,Los Angeles,New York,10192,East,PROD-4645,Furniture,Tables,Tables - Item 17,858.74,3,0.2,107.11,2031-10
91,OD-000040,2024-03-14,2024-03-15,Second Class,Customer-0752,Customer-0752,Consumer,United States,San Diego,California,43272,West,PROD-7773,Office Supplies,Supplies,Supplies - Item 71,456.78,3,0.1,163.74,2024-03
92,OD-000040,2024-03-14,2024-03-19,First Class,Customer-0752,Customer-0752,Home Office,United States,Chicago,Arizona,53949,West,PROD-3104,Office Supplies,Supplies,Supplies - Item 18,902.76,2,0.15,-4.57,2024-03
93,OD-000040,2024-03-14,2024-03-18,First Class,Customer-0752,Customer-0752,Consumer,United States,New York,Arizona,46945,West,PROD-7476,Office Supplies,Supplies,Supplies - Item 45,989.33,4,0.2,89.76,2024-03
94,OD-000040,2024-03-14,2024-03-19,First Class,Customer-0752,Customer-0752,Home Office,United States,Chicago,Pennsylvania,83933,South,PROD-6626,Office Supplies,Supplies,Supplies - Item 60,725.51,2,0.0,43.31,2024-03
95,OD-000041,2022-06-21,2022-06-22,Same Day,Customer-0478,Customer-0478,Consumer,United States,Los Angeles,California,44660,South,PROD-3854,Office Supplies,Storage,Storage - Item 96,522.83,1,0.1,117.79,2022-06
96,OD-000041,2022-06-21,2022-06-25,Standard Class,Customer-0478,Customer-0478,Home Office,United States,San Antonio,Texas,45710,South,PROD-2925,Office Supplies,Storage,Storage - Item 29,167.09,7,0.1,58.29,2022-06
97,OD-000041,2022-06-21,2022-06-23,Same Day,Customer-0478,Customer-0478,Corporate,United States,Phoenix,Arizona,36069,West,PROD-8081,Office Supplies,Storage,Storage - Item 76,479.18,6,0.1,-3.66,2022-06
98,OD-000042,2023-03-09,2023-03-15,Second Class,Customer-0599,Customer-0599,Corporate,United States,Houston,Illinois,31839,East,PROD-4801,Technology,Accessories,Accessories - Item 2,142.31,3,0.05,62.69,2023-03
99,OD-000043,2027-10-08,2027-10-14,Second Class,Customer-0298,Customer-0298,Consumer,United States,San Antonio,Illinois,61877,Central,PROD-7204,Furniture,Bookcases,Bookcases - Item 1,533.44,5,0.05,19.61,2027-10
100,OD-000043,2027-10-08,2027-10-11,Same Day,Customer-0298,Customer-0298,Home Office,United States,Philadelphia,California,62198,East,PROD-2230,Furniture,Bookcases,Bookcases - Item 4,466.91,7,0.15,143.42,2027-10
101,OD-000044,2028-09-26,2028-09-27,Standard Class,Customer-0940,Customer-0940,Home Office,United States,Philadelphia,Pennsylvania,90764,East,PROD-9799,Furniture,Bookcases,Bookcases - Item 35,826.08,8,0.05,145.94,2028-09
102,OD-000044,2028-09-26,2028-09-27,Same Day,Customer-0940,Customer-0940,Corporate,United States,Chicago,California,26103,Central,PROD-9092,Furniture,Bookcases,Bookcases - Item 71,996.2,6,0.05,161.22,2028-09
103,OD-000044,2028-09-26,2028-09-29,Standard Class,Customer-0940,Customer-0940,Corporate,United States,Phoenix,California,48437,South,PROD-9490,Furniture,Bookcases,Bookcases - Item 61,750.7,3,0.2,66.46,2028-09
104,OD-000044,2028-09-26,2028-10-01,Standard Class,Customer-0940,Customer-0940,Consumer,United States,Chicago,Texas,86234,Central,PROD-3964,Furniture,Bookcases,Bookcases - Item 54,570.52,5,0.1,-46.06,2028-09
105,OD-000045,2029-08-26,2029-08-27,Same Day,Customer-0526,Customer-0526,Home Office,United States,San Antonio,California,93178,West,PROD-9706,Office Supplies,Paper,Paper - Item 80,420.67,3,0.0,-32.67,2029-08
106,OD-000045,2029-08-26,2029-08-31,First Class,Customer-0526,Customer-0526,Home Office,United States,Chicago,California,43340,Central,PROD-8832,Office Supplies,Paper,Paper - Item 20,573.79,7,0.1,182.28,2029-08
107,OD-000045,2029-08-26,2029-08-30,Standard Class,Customer-0526,Customer-0526,Home Office,United States,Chicago,Arizona,32164,South,PROD-6232,Office Supplies,Paper,Paper - Item 42,717.95,9,0.1,187.3,2029-08
108,OD-000046,2020-10-08,2020-10-14,Second Class,Customer-0334,Customer-0334,Home Office,United States,Chicago,Arizona,46182,East,PROD-1570,Office Supplies,Binders,Binders - Item 89,652.15,6,0.1,136.95,2020-10
109,OD-000047,2026-11-28,2026-12-02,Second Class,Customer-0002,Customer-0002,Corporate,United States,Los Angeles,Texas,69821,West,PROD-4505,Furniture,Furnishings,Furnishings - Item 20,688.54,1,0.1,124.91,2026-11
110,OD-000047,2026-11-28,2026-12-02,Same Day,Customer-0002,Customer-0002,Corporate,United States,Houston,Pennsylvania,78226,South,PROD-4255,Furniture,Furnishings,Furnishings - Item 90,407.87,2,0.2,158.45,2026-11
111,OD-000047,2026-11-28,2026-11-30,Same Day,Customer-0002,Customer-0002,Corporate,United States,Los Angeles,Illinois,34519,South,PROD-7055,Furniture,Furnishings,Furnishings - Item 43,61.47,8,0.2,55.83,2026-11
112,OD-000048,2033-10-07,2033-10-11,Same Day,Customer-0375,Customer-0375,Home Office,United States,San Diego,Pennsylvania,88653,Central,PROD-3566,Furniture,Bookcases,Bookcases - Item 80,864.37,8,0.1,134.36,2033-10
113,OD-000048,2033-10-07,2033-10-08,First Class,Customer-0375,Customer-0375,Home Office,United States,Houston,Arizona,92384,Central,PROD-4294,Furniture,Bookcases,Bookcases - Item 57,470.36,5,0.15,36.88,2033-10
114,OD-000049,2025-09-01,2025-09-02,Standard Class,Customer-0293,Customer-0293,Corporate,United States,Philadelphia,Arizona,97954,West,PROD-2546,Technology,Copiers,Copiers - Item 98,80.32,2,0.1,67.28,2025-09
115,OD-000050,2020-08-23,2020-08-28,Same Day,Customer-0837,Customer-0837,Home Office,United States,Phoenix,Pennsylvania,36616,South,PROD-9775,Office Supplies,Supplies,Supplies - Item 40,18.62,7,0.1,31.56,2020-08
116,OD-000050,2020-08-23,2020-08-28,Second Class,Customer-0837,Customer-0837,Corporate,United States,San Antonio,Texas,25408,South,PROD-9828,Office Supplies,Supplies,Supplies - Item 13,71.94,5,0.05,152.26,2020-08
117,OD-000051,2025-06-21,2025-06-24,Same Day,Customer-0934,Customer-0934,Corporate,United States,San Diego,Pennsylvania,20692,South,PROD-2289,Office Supplies,Paper,Paper - Item 40,310.59,8,0.1,-49.21,2025-06
118,OD-000051,2025-06-21,2025-06-25,Second Class,Customer-0934,Customer-0934,Home Office,United States,New York,New York,95238,Central,PROD-8657,Office Supplies,Paper,Paper - Item 57,718.03,5,0.05,64.61,2025-06
119,OD-000051,2025-06-21,2025-06-26,Standard Class,Customer-0934,Customer-0934,Corporate,United States,Chicago,Texas,55991,East,PROD-6518,Office Supplies,Paper,Paper - Item 15,54.51,7,0.2,197.36,2025-06
120,OD-000052,2024-08-23,2024-08-28,Second Class,Customer-0553,Customer-0553,Consumer,United States,San Diego,New York,75982,South,PROD-4109,Office Supplies,Binders,Binders - Item 83,661.5,9,0.1,149.93,2024-08
121,OD-000053,2019-08-30,2019-09-03,First Class,Customer-0318,Customer-0318,Consumer,United States,San Diego,Pennsylvania,45303,East,PROD-3032,Technology,Machines,Machines - Item 6,572.05,9,0.15,72.41,2019-08
122,OD-000053,2019-08-30,2019-09-05,Same Day,Customer-0318,Customer-0318,Home Office,United States,San Diego,New York,77231,Central,PROD-4262,Technology,Machines,Machines - Item 38,856.16,5,0.1,4.68,2019-08
123,OD-000053,2019-08-30,2019-09-04,Second Class,Customer-0318,Customer-0318,Corporate,United States,San Diego,Pennsylvania,73909,South,PROD-3294,Technology,Machines,Machines - Item 72,377.46,6,0.1,184.72,2019-08
124,OD-000053,2019-08-30,2019-09-02,Same Day,Customer-0318,Customer-0318,Consumer,United States,Chicago,Texas,59500,Central,PROD-8869,Technology,Machines,Machines - Item 52,676.04,9,0.2,168.52,2019-08
125,OD-000054,2024-08-03,2024-08-07,Standard Class,Customer-0502,Customer-0502,Consumer,United States,San Antonio,California,83648,South,PROD-3547,Technology,Accessories,Accessories - Item 77,239.74,4,0.0,88.58,2024-08
